,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
50,KOLBASA HILAL SINYUQA BISMIS KG,Kolbasa va sosiskalar,10.05,2019-07-08,True,Həzi Aslanov-2
51,VITA 1000 1.5LT QAZSIZ SU PL/Q,Suvlar,0.69,2019-07-08,True,Həzi Aslanov-2
52,BERMUD 1LT ARAQ,Aroq,9.15,2019-07-08,True,Həzi Aslanov-2
53,BISPOL SAM YUMURU AG ART.NR:SK80-190,Maishiy buyumlar,5.55,2019-07-08,True,Həzi Aslanov-2
54,KOLBASA H.D SERVELAT QUZU ETLI KG,Kolbasa va sosiskalar,11.45,2019-07-08,True,Həzi Aslanov-2
55,CRISPICO 125GR SNACK SEKERLI,Shirinliklar,2.55,2019-07-08,True,Həzi Aslanov-2
56,SUPER SUN 200GR BITKI-YAG SPREDI 82% KERELI,Yog'lar,1.3,2019-07-08,True,Həzi Aslanov-2
57,ORION 1.8LT QABYUYAN MAYE CESID,Kiyim-kechak uchun,3.05,2019-07-08,True,Həzi Aslanov-2
65,HOBBY LIFE NE ALSAN 3.5 AZN,Plastik idishlar,3.5,2019-09-29,True,Həzi Aslanov-2
66,CER.ALCA QURUSU KUFTELIK KG,Quruq mevalar,5.55,2019-09-29,True,Həzi Aslanov-2
67,VIKO UDLINITEL 90131303 3-LU 3M QARA,Maishiy buyumlar,9.43,2019-09-29,True,Həzi Aslanov-2
68,BERMUD 1LT ARAQ,Aroq,9.15,2019-09-29,True,Həzi Aslanov-2
322,MVT.1KG AG XIYAR TURSUSU,Tuzlamalar,3.1,2019-08-20,True,Həzi Aslanov-2
323,BERRAK 2550GR QARISIK TURSU,Tuzlamalar,8.4,2019-08-20,True,Həzi Aslanov-2
324,VOZDUSNIY 85GR SOKOLAD BELIY PORISTIY,Shirinliklar,1.6,2019-08-20,True,Həzi Aslanov-2
325,KITCHEN METBEX FIRCASI SE-291,Idish-tovoq,3.75,2019-08-20,True,Həzi Aslanov-2
326,MUMTAZ 2KG UZUN DUYU TORBA,Donli mahsulotlar,12.1,2019-08-20,True,Həzi Aslanov-2
327,KENT 100GR BULYON TOZ ET BULYON,Ziravorlar,0.9,2019-08-20,True,Həzi Aslanov-2
328,RUSSKART KUZYA 140GR KUKURUZNIE PALOCKI,Shirinliklar,1.45,2019-08-20,True,Həzi Aslanov-2
329,ROZENBAL STYL CEXOL PALTAR,Maishiy buyumlar,5.47,2019-08-20,True,Həzi Aslanov-2
330,DOMASNEE 800GR YUMRU DUYU POSET,Donli mahsulotlar,1.78,2019-08-20,True,Həzi Aslanov-2
571,KOLBASA ROSKO KRAKOVSKAYA ELA NOV KG,Kolbasa va sosiskalar,12.1,2019-01-28,False,Həzi Aslanov-2
572,AZOVSKAYA 250GR XALVA PODSOLNECNAYA,Shirinliklar,1.05,2019-01-28,False,Həzi Aslanov-2
573,ARGEM 1000GR ALIMINIUM SAXLAMA QABI 5-LI,Plastik idishlar,2.25,2019-01-28,False,Həzi Aslanov-2
574,KONFET AVK DESSERT SLIVOCNIY/SOK/MOLOCNIY KG,Shirinliklar,8.4,2019-01-28,False,Həzi Aslanov-2
575,"ALPEN GOLD 160GR SOKOLAD MANQO,ANANAS PLITKA",Shirinliklar,3.0,2019-01-28,False,Həzi Aslanov-2
576,MILLA 300ML BIO AKTIV ICM.YOQURT GILEMEYVELI,Yogurt,1.48,2019-01-28,False,Həzi Aslanov-2
577,SUVENIR GOYERCIN ISIQLI,Maishiy buyumlar,5.85,2019-01-28,False,Həzi Aslanov-2
623,SIRAB 200ML QAZLI SU S/Q,Suvlar,0.43,2019-03-21,False,Həzi Aslanov-2
624,BOLLUQ 5KG QEND,Shirinliklar,7.35,2019-03-21,False,Həzi Aslanov-2
625,UZUN OMUR 400GR SOR 18%,Tuz,1.98,2019-03-21,False,Həzi Aslanov-2
626,GOLD WAX 400ML ANTISTATIC MEBEL UCUN,"Yuvish vositalari, tozalagichlar",5.7,2019-03-21,False,Həzi Aslanov-2
627,PAP STAR PARTY FEELINGS SAM REQEM.19305,Bayram uchun aksessuarlar,1.59,2019-03-21,False,Həzi Aslanov-2
