,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
322435,METIN 225GR FINDIQ KREMI CHOCO LOC PL/Q,Shirinliklar,2.5,2019-10-29,False,Əhmədli
322436,CER.KUNCUT AG KG,Ziravorlar,5.2,2019-10-29,False,Əhmədli
322543,SALFETKA QABI GULLU,Idish-tovoq,2.79,2019-05-21,True,Əhmədli
322544,STOLICNIY RESEPT 0.7LT ARAQ QIRMIZI,Aroq,7.75,2019-05-21,True,Əhmədli
322545,MISTER TUM 70GR HD DUZLU GUNEBAXAN TUMU,Quritilgan mevalar to'plami,0.5,2019-05-21,True,Əhmədli
322546,MEGLIO 500ML ZEYTUN YAGI,Yog'lar,5.95,2019-05-21,True,Əhmədli
322577,MASTER DAK 10GR JELATIN POSET,Ziravorlar,0.55,2019-06-10,True,Əhmədli
322578,TAYQA 700GR NOXUD PACKA,Donli mahsulotlar,1.55,2019-06-10,True,Əhmədli
322579,AMET REZIN ELCEK OLCU L,"Yuvish vositalari, tozalagichlar",9.8,2019-06-10,True,Əhmədli
322580,ANL 25GR YUMURTA SURPRISE CHAMPION,Shirinliklar,0.5,2019-06-10,True,Əhmədli
322581,ULKER 110GR DOLCIA PUDING SOKOLADLI,Ziravorlar,0.65,2019-06-10,True,Əhmədli
322944,SIGARET SENATE KS GOLD,Tamaki mahsulotlari,1.8,2019-09-26,False,Əhmədli
322945,KONFET KONFIROM DARENKA PLOMBIR/TOFFI KG,Shirinliklar,7.2,2019-09-26,False,Əhmədli
322946,DOYMAK 2KG UN ELA NOV,Un mahsulotlari,2.38,2019-09-26,False,Əhmədli
322962,PORTABLE EL TEREZI ELEKTRON,Maishiy buyumlar,4.2,2019-06-19,False,Əhmədli
322963,PATRON 90GR 5D GUNEBAXAN TUMU,Quritilgan mevalar to'plami,0.6,2019-06-19,False,Əhmədli
322964,VILO 200ML AYAQQABI SPREY QEHVEYI ZAMUSA,Poyafzal aksessuarlari,5.64,2019-06-19,False,Əhmədli
322965,XAN 0.7LT ARAQ KRISTAL,Aroq,6.5,2019-06-19,False,Əhmədli
322966,BABAYEVSKIY 100GR SOKOLAD FIRMENNIY PLITKA,Shirinliklar,2.35,2019-06-19,False,Əhmədli
322967,OLIO DI ZEUS 3LT ZEYTUN YAGI PL/Q,Yog'lar,21.3,2019-06-19,False,Əhmədli
323264,SOSISKA H.N IVERIYA HALAL EF KG,Kolbasa va sosiskalar,9.6,2019-10-29,True,Əhmədli
323265,AKBAR 250GR CAY EARL GREY,Choy,4.8,2019-10-29,True,Əhmədli
323266,BEGEMOTIK BONDI 180GR PECENYE OBOQOSENNIM YODOM,Shirinliklar,1.25,2019-10-29,True,Əhmədli
323267,PENTI INCE QADIN CORABI CESID,Paypoq,1.2,2019-10-29,True,Əhmədli
323590,NARSERAB 350GR SOUS F.S. SAFAROVA,Souslar,1.59,2019-01-01,True,Əhmədli
323591,QAYCI TOYUQ DOGRAMAQ UCUN CESID,Idish-tovoq,4.05,2019-01-01,True,Əhmədli
323592,POBEDA 100GR DESERTNIY LESNOY OREX-IZYUM PL/SOK.,Shirinliklar,1.9,2019-01-01,True,Əhmədli
323593,GREEN EAST 3KG PREMIUM HASIMI DUYU KISE,Donli mahsulotlar,10.4,2019-01-01,True,Əhmədli
323594,KONFET BOLLUQ LEVINA ASSORTI KG,Shirinliklar,5.65,2019-01-01,True,Əhmədli
323595,AYAQQABI DOMASNIK QASLI SMALL 3/4,To'qimachilik,4.8,2019-01-01,True,Əhmədli
323737,MISTRAL 400GR BIO STEAM XLOPYA OVSYANIE EKSTRA,Shirinliklar,1.95,2019-06-17,False,Əhmədli
323738,MAXEEV 140GR ADJIKA OSTRAYA,Souslar,1.1,2019-06-17,False,Əhmədli
323739,"SOKOLAD ULDUZ FAVO SOKOLAD,PORTAGAL KG",Shirinliklar,11.8,2019-06-17,False,Əhmədli
323740,KEHRIZ 10LT TEBII SU,Suvlar,2.1,2019-06-17,False,Əhmədli
323741,SIRAB 0.5LT QAZLI SU PL/Q,Suvlar,0.37,2019-06-17,False,Əhmədli
323742,HOCHLAND 150GR PENDIR ALMETTE SLIVOCNIY,Pishloqlar,3.4,2019-06-17,False,Əhmədli
323969,AZER SUD 500GR KEND QATIGI 1.5% S/Q,Qatiq,1.2,2019-02-06,False,Əhmədli
323970,KERE YAGI GOLDEN CROWN 82.5% KG,Yog'lar,14.9,2019-02-06,False,Əhmədli
323971,KONFET SHIRIN SWEETY DAINTY ASSORTI KG,Shirinliklar,9.85,2019-02-06,False,Əhmədli
