,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
191821,DONDURMA NESTLE 100ML ESKIMO OREO ICELAND,Muzqaymoq,2.65,2019-02-05,True,Xırdalan
191822,"KONFET ESSEN DAEJ S KARAMELYU,ARAXISOM I KRIS.KG",Shirinliklar,9.75,2019-02-05,True,Xırdalan
191823,ASTRA 25*38SM FIRIN TORBASI 8 ADET,Maishiy buyumlar,0.7,2019-02-05,True,Xırdalan
191824,IRAK.P.HESIR CIRKLI PALTAR UCUN 56LT LA-145,Plastik idishlar,38.5,2019-02-05,True,Xırdalan
191873,KOLBASA CARICINO SINYUQA D/L/T QOST KG,Kolbasa va sosiskalar,26.05,2019-01-02,True,Xırdalan
191874,NES 400GR PRYANIK SOKOLADLI PACKA,Shirinliklar,0.95,2019-01-02,True,Xırdalan
191875,POWER BLACK 500ML ENERJI ICKI,Energetik ichimliklar,1.35,2019-01-02,True,Xırdalan
191876,PITBULL 1LT SILVER ENERGETIK ICKI PL/Q,Energetik ichimliklar,2.05,2019-01-02,True,Xırdalan
191877,OGAS 300GR LOKUM XURMA-ENCIRLI,Shirinliklar,7.05,2019-01-02,True,Xırdalan
191878,DASKESEN 350GR CICEK-COKE BALI SUZME,Shirinliklar,9.3,2019-01-02,True,Xırdalan
191879,INCI 150GR KREM SANTI SADE QUTU,Souslar,2.9,2019-01-02,True,Xırdalan
191880,DEWARS 1LT VISKI 12IL 40% S/Q QUTU,"Viski, tekila va h.k",112.88,2019-01-02,True,Xırdalan
191881,CERNAYA KARTA 95GR KOFE PREMIUM KOLUMBIYA S/Q,"Kofe, kakao va h.k",7.65,2019-01-02,True,Xırdalan
191888,BISMAK 30GR WAFLIM VAFLI KAKAOLU KREMLI,Shirinliklar,0.18,2019-04-13,True,Xırdalan
191889,CAN 600GR LOKUM BADAMLI PL/Q,Shirinliklar,3.51,2019-04-13,True,Xırdalan
191890,N1 ZAVOD 700GR YUMRU COREYI,Non,0.5,2019-04-13,True,Xırdalan
191891,SERVICE ZIBIL TORBASI 10-LU 60LT,Maishiy buyumlar,2.2,2019-04-13,True,Xırdalan
191892,VAFLI KLIM VAFELNIYE TRUBOCKI KG,Shirinliklar,6.35,2019-04-13,True,Xırdalan
191893,LYUBIMIY 0.2LT M.SIRESI YABLOKO-VISNA-CERESNAYA,Mevali sharbatlar,0.38,2019-04-13,True,Xırdalan
191894,FANTA 1LT,Gazli ichimliklar,0.98,2019-04-13,True,Xırdalan
191895,BONDUELLE 400GR ROYAL QARISIQ TEREVEZ PAKET,Konservalar,2.85,2019-04-13,True,Xırdalan
191909,SUSKI POSOLSTVO V.E.POSOLSKIY CELNOCEK KG,Shirinliklar,3.9,2019-09-25,True,Xırdalan
191910,SOSISKA SAB KOVSER KG,Kolbasa va sosiskalar,7.85,2019-09-25,True,Xırdalan
191911,KONFET VORONEJS.BATONCIKI MOLOCNO OREXOVIE KG,Shirinliklar,7.55,2019-09-25,True,Xırdalan
191912,OLEYNA 1LT GUNEBAXAN YAGI,Yog'lar,3.05,2019-09-25,True,Xırdalan
191913,MALIBU 1LT 21% ROM,"Viski, tekila va h.k",59.13,2019-09-25,True,Xırdalan
191914,GOSIA PISEVAYA PLONKA 0.29X20M QOLUBAYA,Maishiy buyumlar,2.25,2019-09-25,True,Xırdalan
191915,FIRIN.TORT BALLI QOZLU KG,Shirinliklar,16.0,2019-09-25,True,Xırdalan
191916,ZOLOTOY SAD 0.5LT SAFTALI MEYVE SIRESI PL/Q,Mevali sharbatlar,0.91,2019-09-25,True,Xırdalan
191917,KARAMEL ROT FRONT MYATA KG,Shirinliklar,5.25,2019-09-25,True,Xırdalan
192164,SEDRAYA ZEMLYA 400GR MERCI QIRMIZI,Donli mahsulotlar,1.15,2019-03-05,True,Xırdalan
